RelativePath	ProcCount	Procs
HO/ECS/x_EcsMandateNew.aspx	11	pr_d_getrdinstandpaidinst;pr_ecs_getamenddata;pr_x_loadecs_mandateamend;pr_x_loadecs_mandatecancel;pr_x_loadecs_mandatenew;pr_x_save_ecs_mandateamend;pr_x_save_ecs_mandatecancel;pr_x_save_ecs_mandatenew;pr_x_sb_getecs_mandateamend;pr_x_sb_getecs_mandatecancel;pr_x_sb_getecs_mandatenew
HO/Hr/g_BankDirRelative.aspx	1	pr_x_getglobalclient
HO/Hr/h_EmpDeputationExt.aspx	1	pr_a_sb_empdeputationext
HO/Hr/h_Employee.aspx	8	pr_h_getbanklist;pr_h_getcities;pr_h_getdesignations;pr_h_getorgelementlist;pr_h_getrelations;pr_h_getstates;pr_h_saveemployeemodificationlog;pr_h_sb_getemployees
HO/Hr/h_EmployeeDeputation.aspx	2	pr_a_passingempdeputation;pr_a_sb_empdeputation
HO/Hr/h_EmployeeRelease.aspx	2	pr_a_passingemprelease;pr_a_sb_emprelease
HO/ProjectFormulation/C_LoanDocCollection.aspx	2	pr_c_getloandoccollection;pr_c_saveloandoccollection
HO/ProjectFormulation/c_LoanDocRelease.aspx	2	pr_c_getloandocrelease;pr_c_releaseloandoccollection
HO/ProjectFormulation/p_AnnexPre.aspx	9	pr_p_checkuseridentification;pr_p_getsqbranches;pr_p_getsqheadoffice;pr_p_getsqloannumberannexpre;pr_p_getsqloanpurposetype;pr_p_getsqloantypenew;pr_p_getsqschemepurpose;pr_p_getsqschemes;pr_p_getsqzones
HO/ProjectFormulation/p_Applicant.aspx	13	pr_p_checkuseridentification;pr_p_getapplicantindebtedloanpurpose;pr_p_getexistingclient;pr_p_getsbqapplicantaddress;pr_p_getsbqapplicantbank;pr_p_getsbqapplicantdata;pr_p_getsbqapplicantindebted;pr_p_getsbqapplicantname;pr_p_getsbqshareholders;pr_p_getsbqsocietymembers;pr_p_getsqbranches;pr_p_getsqheadoffice;pr_p_getsqzones
HO/ProjectFormulation/p_CommitteeDirectors.aspx	1	pr_p_getcommitteedirector
HO/ProjectFormulation/p_CommitteeMaster.aspx	4	pr_p_getcommwisebranches;pr_p_orgstructure;pr_p_sb_getbranchcommittee;pr_p_sb_getcommiteequery
HO/ProjectFormulation/p_CommitteeMasterMemberAP.aspx	6	pr_p_checkdirectorcommitteeclosed;pr_p_getapcommemberslist;pr_p_getcommemempquery;pr_p_getcommitteemasterid;pr_p_getcommitteememberemployeequery;pr_p_sb_getcommiteequery
HO/ProjectFormulation/p_CommitteeMasterMemberAR.aspx	9	pr_p_checkdirectorcommitteeclosed;pr_p_getapcommemberslist;pr_p_getcommemempquery;pr_p_getcommemershiptid;pr_p_getcommitteemembershiptid;pr_p_orgstructure;pr_p_sb_getallbranches;pr_p_sb_getcommiteequery;pr_p_sb_getcommitteequery
HO/ProjectFormulation/P_CreditOfficer.aspx	1	pr_p_sb_getcreditofficer
HO/ProjectFormulation/p_Document.aspx	4	pr_p_getloanpurposelistschemewise;pr_p_getsqschemepurpose;pr_p_getsqschemes;pr_p_sb_getdocumentlist
HO/ProjectFormulation/p_LoanCase_v1.aspx	28	pr_b_getrepaysch;pr_b_savebusinessdetails;pr_c_getguarantorlist;pr_c_getprioritylist;pr_g_getcity;pr_g_getcitylist;pr_g_getstate;pr_p_checkuseridentification;pr_p_copydefaultannex;pr_p_gethozobr;pr_p_getloancaseisactive;pr_p_getloandocumentschemepurposewise;pr_p_getloanpurposelist;pr_p_getloanpurposelist1;pr_p_getreportoptionapplicantdetails;pr_p_getsanctionedloancase;pr_p_getsbqloandetails;pr_p_getsqapplicantname;pr_p_getsqbranches;pr_p_getsqheadoffice;pr_p_getsqloanpurpose;pr_p_getsqschemes;pr_p_getsqzones;pr_p_loancasefulllog;pr_p_loancaselog;pr_p_savesalaryaccountdetails;pr_x_getglobalclient;pr_x_getleasingvatamtcostofequip
HO/ProjectFormulation/p_LoanCaseCommitteeRemarks.aspx	9	pr_g_createglobalclientforloanapplicant;pr_p_checkdirectorcommitteeclosed;pr_p_getapcommemberslist;pr_p_getlcappraisallist;pr_p_getlcdocumentrate;pr_p_getlcmemberslist;pr_p_getlcpending;pr_p_orgstructure;pr_p_sb_getcommiteequery
HO/ProjectFormulation/p_SchemeDetails.aspx	14	pr_p_createannex;pr_p_getdeleteschemebankbranches;pr_p_getdeleteschemecontributors;pr_p_getdeleteschemepurpose;pr_p_getloadschemecontributors;pr_p_getloadschemeorgbank;pr_p_getloadschemepurposes;pr_p_getreportoptionschemedetails;pr_p_getsqschemedetails;pr_p_getsqschemes;pr_p_getupdateschemebankbranches;pr_p_getupdateschemecontributors;pr_p_getupdateschemepurposes;pr_p_loanschemeupdate
