Module	SubArea	Screen	RelativePath	Category	Complexity	Score	LegacyBucket	AspxLoc	VbLoc	Controls	Grids	Inputs	Buttons	ProcCount	Writes	ClientAssets	MigratedTo	Procs
HO		b_AutoScheduleLog.aspx	HO/b_AutoScheduleLog.aspx	CRUD master	Simple	2.85	Simple	76	140	13	1	1	2	1	yes			pr_b_autoschedulelog
HO		b_BlackListedAcc.aspx	HO/b_BlackListedAcc.aspx	CRUD master	Complex	13.54	Simple	279	1479	37	2	6	8	1	yes			pr_b_sb_getblacklistaccdetails
HO		b_ClientCKYCR_V1.aspx	HO/b_ClientCKYCR_V1.aspx	CRUD master	Complex	168.2	Simple	4238	18741	544	9	209	24	23	yes	yes		pr_b_getcountryjs;pr_c_updatelnbankdirreldet;pr_g_clienttdsstatus;pr_g_dulicatedetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_saveclientmodificationlog;pr_g_savelocalclient;pr_g_sb_getglobalclientname;pr_g_sb_getglobalclientnameforkyc;pr_kyc_validategaurdiandetails;pr_kyc_validateglobalclientdocuploaded;pr_kyc_validateguardianclientdetails;pr_kyc_validaterelatedpersonnonindiviual;pr_util_execqueryforrecsel;pr_x_getaccforsmschargeclientwise;pr_x_getcitylistjs;pr_x_getclientsforproprietor;pr_x_getdistrictlistjs;pr_x_getglobalclient;pr_x_getglobalclientgaurdian;pr_x_getstatelistjs;pr_x_gettalukalistjs
HO		b_ClientCKYCR_V3.aspx	HO/b_ClientCKYCR_V3.aspx	CRUD master	Complex	240.98	Simple	6512	27096	701	9	233	30	41	yes	yes		pr_b_getcountryjs;pr_c_updatelnbankdirreldet;pr_g_aadhaarpanverificationlog;pr_g_clienttdsstatus;pr_g_customeronboarddetailslog;pr_g_documentsverificationlog;pr_g_dulicatedetails;pr_g_getaddressdetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_mobchangesmsgen;pr_g_saveclientmodificationlog;pr_g_savelocalclient;pr_g_sb_getglobalclientname;pr_g_sb_getglobalclientnameforkyc;pr_g_validateandgetdatapostalcode;pr_g_validateandinsertaddress;pr_g_validateemaildomain;pr_kyc_getclientlocationdetails;pr_kyc_getdownloadeddetails;pr_kyc_isckycdocmandatory;pr_kyc_newglobalclientid;pr_kyc_passdownloadbatchitem;pr_kyc_updatememberinfo;pr_kyc_uploaddocdetails;pr_kyc_validateduplicatedocrefno;pr_kyc_validategaurdiandetails;pr_kyc_validateglobalclientdocuploaded;pr_kyc_validateglobalclientstatus;pr_kyc_validateguardianclientdetails;pr_kyc_validaterelatedpersonnonindiviual;pr_util_execqueryforrecsel;pr_x_getaccforsmschargeclientwise;pr_x_getcitylistjs;pr_x_getclientsforproprietor;pr_x_getdistrictlistjs;pr_x_getglobalclient;pr_x_getglobalclientgaurdian;pr_x_getstatelistjs;pr_x_gettalukalistjs;pr_x_validatepanapilog
HO		b_ClientCKYCRUpdateFlagPopup.aspx	HO/b_ClientCKYCRUpdateFlagPopup.aspx	Popup / Dialog	Simple	2.21	Simple	116	74	23	1	10	0	0				
HO		b_ClientSTRInfo.aspx	HO/b_ClientSTRInfo.aspx	CRUD master	Simple	3.07	Simple	102	281	10	1	2	3	0	yes			
HO		b_ClientV1.aspx	HO/b_ClientV1.aspx	CRUD master	Complex	113.41	Simple	2618	12835	356	8	130	13	12	yes			pr_c_updatelnbankdirreldet;pr_g_clienttdsstatus;pr_g_dulicatedetails;pr_g_getcity;pr_g_getglobalclientbyid;pr_g_saveclientmodificationlog;pr_g_savelocalclient;pr_g_sb_getglobalclientname;pr_g_updatesmsregisteredaccountcons;pr_x_getaccforsmschargeclientwise;pr_x_getglobalclient;pr_x_getglobalclientgaurdian
HO		b_clientv2.aspx	HO/b_clientv2.aspx	Client-rendered / Other	Simple	3.4	Simple	18	243	2	0	0	0	2	yes	yes		pr_b_saveclientjs;pr_b_saveclientrekycdata
HO		b_CTSSubMemberBank.aspx	HO/b_CTSSubMemberBank.aspx	CRUD master	Medium	10.17	Simple	194	842	44	2	6	7	2	yes			pr_b_sb_getctssubmemberbank;pr_x_ctssubmemberbanksave
HO		b_GstExcludeGL.aspx	HO/b_GstExcludeGL.aspx	CRUD master	Medium	4.77	Simple	108	319	16	1	0	5	2	yes			pr_b_gstexcludegl;pr_b_gstexcludegl_search
